Timestamp,Latitude,Longitude,Location,Vehicle_Count,NO2_Emissions,Weather_Conditions,Traffic_Flow_Speed,Rush_Hour_Indicator,Suggested_Route_Adjustment
2023-04-05 19:00:00,31.4235,73.1015,Kohinoor City,384,59.47,Cloudy,6.0,Yes,Divert via Satyana Road
2023-12-06 00:00:00,31.4168,73.0895,Canal Road,364,35.68,Rainy,9.333333333333336,Yes,Use Expressway
2023-07-01 04:00:00,31.425,73.105,D Ground,205,79.0,Clear,35.833333333333336,No,No change needed
2023-02-22 23:00:00,31.4168,73.0895,Canal Road,54,23.64,Cloudy,61.0,No,No change needed
2023-03-25 14:00:00,31.418,73.116,People's Colony,364,23.48,Clear,9.333333333333336,Yes,"Avoid peak hours, use Jaranwala Road"
2023-09-27 13:00:00,31.425,73.105,D Ground,297,69.85,Cloudy,20.5,Yes,Take small connecting roads
2023-07-27 02:00:00,31.4405,73.13,Madina Town,40,74.1,Clear,63.333333333333336,No,No change needed
2023-02-18 12:00:00,31.44,73.06,Ghulam Muhammad Abad,142,67.77,Cloudy,46.33333333333333,No,No change needed
2023-04-24 21:00:00,31.4325,73.1205,Susan Road,53,28.1,Cloudy,61.166666666666664,No,No change needed
2023-06-21 04:00:00,31.4187,73.079,Clock Tower,381,57.04,Cloudy,6.5,Yes,Use Circular Road alternative
2023-06-17 15:00:00,31.4235,73.1015,Kohinoor City,346,37.84,Rainy,12.333333333333336,Yes,Divert via Satyana Road
2023-08-21 20:00:00,31.4235,73.1015,Kohinoor City,311,61.83,Hazy,18.166666666666664,Yes,Divert via Satyana Road
2023-06-01 23:00:00,31.418,73.116,People's Colony,97,25.86,Hazy,53.83333333333333,No,No change needed
2023-09-06 00:00:00,31.4325,73.1205,Susan Road,188,74.33,Clear,38.66666666666667,No,No change needed
2023-10-03 15:00:00,31.4405,73.13,Madina Town,239,45.69,Rainy,30.166666666666664,No,No change needed
2023-01-07 00:00:00,31.4187,73.079,Clock Tower,181,73.06,Cloudy,39.83333333333333,No,No change needed
2023-01-09 00:00:00,31.4187,73.079,Clock Tower,209,47.88,Rainy,35.166666666666664,No,No change needed
2023-10-11 13:00:00,31.4325,73.1205,Susan Road,263,13.55,Clear,26.166666666666664,Yes,Use Madina Town Bypass
2023-09-24 15:00:00,31.4405,73.13,Madina Town,174,23.51,Hazy,41.0,No,No change needed
2023-09-14 12:00:00,31.425,73.105,D Ground,85,15.48,Hazy,55.833333333333336,No,No change needed
2023-09-18 15:00:00,31.4325,73.1205,Susan Road,380,44.65,Rainy,6.666666666666664,Yes,Use Madina Town Bypass
2023-05-09 15:00:00,31.4325,73.1205,Susan Road,355,14.22,Cloudy,10.833333333333336,Yes,Use Madina Town Bypass
2023-08-09 02:00:00,31.4187,73.079,Clock Tower,108,18.57,Clear,52.0,No,No change needed
2023-10-03 04:00:00,31.4405,73.13,Madina Town,312,10.88,Rainy,18.0,Yes,Use Jaranwala Bypass
2023-01-09 15:00:00,31.4168,73.0895,Canal Road,83,17.98,Hazy,56.166666666666664,No,No change needed
2023-01-16 16:00:00,31.4187,73.079,Clock Tower,68,37.32,Clear,58.666666666666664,No,No change needed
2023-10-03 01:00:00,31.4187,73.079,Clock Tower,60,49.17,Clear,60.0,No,No change needed
2023-07-18 20:00:00,31.418,73.116,People's Colony,129,33.87,Rainy,48.5,No,No change needed
2023-04-13 22:00:00,31.425,73.105,D Ground,194,41.74,Cloudy,37.666666666666664,No,No change needed
2023-10-27 22:00:00,31.418,73.116,People's Colony,87,35.68,Rainy,55.5,No,No change needed
2023-03-25 19:00:00,31.425,73.105,D Ground,85,48.3,Cloudy,55.833333333333336,No,No change needed
2023-11-25 04:00:00,31.44,73.06,Ghulam Muhammad Abad,236,35.49,Cloudy,30.666666666666664,No,No change needed
2023-09-14 21:00:00,31.4187,73.079,Clock Tower,350,49.48,Hazy,11.666666666666664,Yes,Use Circular Road alternative
2023-05-18 15:00:00,31.425,73.105,D Ground,41,57.4,Rainy,63.166666666666664,No,No change needed
2023-04-11 00:00:00,31.425,73.105,D Ground,306,45.61,Clear,19.0,Yes,Take small connecting roads
2023-01-27 18:00:00,31.418,73.116,People's Colony,380,66.68,Cloudy,6.666666666666664,Yes,"Avoid peak hours, use Jaranwala Road"
2023-10-29 15:00:00,31.418,73.116,People's Colony,199,15.23,Cloudy,36.833333333333336,No,No change needed
2023-07-31 21:00:00,31.4325,73.1205,Susan Road,163,70.7,Cloudy,42.83333333333333,No,No change needed
2023-09-14 12:00:00,31.4187,73.079,Clock Tower,354,48.96,Clear,11.0,Yes,Use Circular Road alternative
2023-04-08 17:00:00,31.4235,73.1015,Kohinoor City,193,46.68,Clear,37.833333333333336,No,No change needed
2023-10-19 04:00:00,31.44,73.06,Ghulam Muhammad Abad,377,65.05,Cloudy,7.166666666666664,Yes,Take side streets via Millat Road
2023-03-07 03:00:00,31.425,73.105,D Ground,267,75.99,Cloudy,25.5,Yes,Take small connecting roads
2023-05-23 19:00:00,31.418,73.116,People's Colony,236,34.24,Rainy,30.666666666666664,No,No change needed
2023-07-29 19:00:00,31.4235,73.1015,Kohinoor City,218,48.3,Rainy,33.666666666666664,No,No change needed
2023-02-17 01:00:00,31.4325,73.1205,Susan Road,123,41.2,Cloudy,49.5,No,No change needed
2023-03-08 18:00:00,31.4168,73.0895,Canal Road,239,52.95,Hazy,30.166666666666664,No,No change needed
2023-05-05 03:00:00,31.4325,73.1205,Susan Road,80,45.82,Hazy,56.666666666666664,No,No change needed
2023-05-26 04:00:00,31.4405,73.13,Madina Town,144,63.41,Hazy,46.0,No,No change needed
2023-03-20 04:00:00,31.4325,73.1205,Susan Road,48,76.06,Cloudy,62.0,No,No change needed
2023-10-21 01:00:00,31.4405,73.13,Madina Town,322,43.62,Rainy,16.333333333333336,Yes,Use Jaranwala Bypass
2023-10-15 20:00:00,31.425,73.105,D Ground,315,39.5,Cloudy,17.5,Yes,Take small connecting roads
2023-07-19 12:00:00,31.4235,73.1015,Kohinoor City,77,41.89,Rainy,57.166666666666664,No,No change needed
2023-10-06 15:00:00,31.4187,73.079,Clock Tower,215,72.78,Cloudy,34.166666666666664,No,No change needed
2023-05-15 03:00:00,31.4187,73.079,Clock Tower,168,78.69,Hazy,42.0,No,No change needed
2023-12-18 13:00:00,31.425,73.105,D Ground,232,46.45,Rainy,31.333333333333336,No,No change needed
2023-12-11 23:00:00,31.418,73.116,People's Colony,104,56.74,Hazy,52.66666666666667,No,No change needed
2023-09-12 17:00:00,31.4405,73.13,Madina Town,23,25.84,Hazy,66.16666666666667,No,No change needed
2023-11-19 18:00:00,31.4168,73.0895,Canal Road,141,76.67,Hazy,46.5,No,No change needed
2023-09-07 22:00:00,31.418,73.116,People's Colony,345,70.4,Cloudy,12.5,Yes,"Avoid peak hours, use Jaranwala Road"
2023-11-28 04:00:00,31.418,73.116,People's Colony,151,21.76,Cloudy,44.83333333333333,No,No change needed
2023-04-01 15:00:00,31.44,73.06,Ghulam Muhammad Abad,177,12.51,Rainy,40.5,No,No change needed
2023-01-23 02:00:00,31.4187,73.079,Clock Tower,39,63.72,Cloudy,63.5,No,No change needed
2023-03-11 12:00:00,31.418,73.116,People's Colony,288,26.3,Rainy,22.0,Yes,"Avoid peak hours, use Jaranwala Road"
2023-06-07 16:00:00,31.44,73.06,Ghulam Muhammad Abad,388,77.53,Cloudy,5.333333333333329,Yes,Take side streets via Millat Road
2023-09-22 18:00:00,31.4187,73.079,Clock Tower,107,42.13,Clear,52.16666666666667,No,No change needed
2023-05-15 17:00:00,31.4187,73.079,Clock Tower,269,30.9,Rainy,25.166666666666664,Yes,Use Circular Road alternative
2023-04-12 21:00:00,31.4168,73.0895,Canal Road,352,38.63,Hazy,11.333333333333336,Yes,Use Expressway
2023-12-21 21:00:00,31.4187,73.079,Clock Tower,37,38.4,Hazy,63.833333333333336,No,No change needed
2023-12-15 18:00:00,31.44,73.06,Ghulam Muhammad Abad,104,13.52,Rainy,52.66666666666667,No,No change needed
2023-07-24 16:00:00,31.4325,73.1205,Susan Road,207,79.92,Clear,35.5,No,No change needed
2023-03-22 23:00:00,31.44,73.06,Ghulam Muhammad Abad,69,44.98,Rainy,58.5,No,No change needed
2023-11-09 16:00:00,31.4235,73.1015,Kohinoor City,147,51.6,Clear,45.5,No,No change needed
2023-10-24 04:00:00,31.4325,73.1205,Susan Road,242,27.49,Cloudy,29.666666666666664,No,No change needed
2023-12-26 16:00:00,31.418,73.116,People's Colony,90,31.58,Hazy,55.0,No,No change needed
2023-10-29 19:00:00,31.44,73.06,Ghulam Muhammad Abad,132,69.52,Rainy,48.0,No,No change needed
2023-08-30 12:00:00,31.4168,73.0895,Canal Road,175,38.45,Clear,40.83333333333333,No,No change needed
2023-08-31 22:00:00,31.4405,73.13,Madina Town,89,18.33,Rainy,55.166666666666664,No,No change needed
2023-12-14 01:00:00,31.44,73.06,Ghulam Muhammad Abad,153,35.89,Rainy,44.5,No,No change needed
2023-08-19 17:00:00,31.425,73.105,D Ground,205,32.06,Rainy,35.833333333333336,No,No change needed
2023-10-05 14:00:00,31.4235,73.1015,Kohinoor City,47,10.54,Rainy,62.166666666666664,No,No change needed
2023-03-30 00:00:00,31.4325,73.1205,Susan Road,86,15.71,Clear,55.666666666666664,No,No change needed
2023-12-22 04:00:00,31.418,73.116,People's Colony,42,45.05,Rainy,63.0,No,No change needed
2023-06-11 18:00:00,31.418,73.116,People's Colony,189,67.84,Hazy,38.5,No,No change needed
2023-03-19 03:00:00,31.4325,73.1205,Susan Road,129,17.03,Rainy,48.5,No,No change needed
2023-04-29 19:00:00,31.44,73.06,Ghulam Muhammad Abad,239,25.12,Rainy,30.166666666666664,No,No change needed
2023-03-09 15:00:00,31.4325,73.1205,Susan Road,291,46.35,Rainy,21.5,Yes,Use Madina Town Bypass
2023-02-21 15:00:00,31.418,73.116,People's Colony,292,53.31,Rainy,21.333333333333336,Yes,"Avoid peak hours, use Jaranwala Road"
2023-12-18 17:00:00,31.4405,73.13,Madina Town,132,69.88,Clear,48.0,No,No change needed
2023-10-15 16:00:00,31.44,73.06,Ghulam Muhammad Abad,234,55.69,Hazy,31.0,No,No change needed
2023-09-26 23:00:00,31.4168,73.0895,Canal Road,193,52.8,Clear,37.833333333333336,No,No change needed
2023-11-23 20:00:00,31.4405,73.13,Madina Town,240,49.56,Rainy,30.0,No,No change needed
2023-07-14 03:00:00,31.418,73.116,People's Colony,34,28.53,Hazy,64.33333333333333,No,No change needed
2023-03-26 16:00:00,31.425,73.105,D Ground,38,13.39,Hazy,63.666666666666664,No,No change needed
2023-07-23 01:00:00,31.4168,73.0895,Canal Road,307,48.84,Cloudy,18.833333333333336,Yes,Use Expressway
2023-03-19 18:00:00,31.4168,73.0895,Canal Road,88,74.92,Hazy,55.333333333333336,No,No change needed
2023-06-24 21:00:00,31.4235,73.1015,Kohinoor City,332,47.22,Clear,14.666666666666664,Yes,Divert via Satyana Road
2023-03-16 19:00:00,31.4168,73.0895,Canal Road,345,62.02,Clear,12.5,Yes,Use Expressway
2023-08-13 13:00:00,31.418,73.116,People's Colony,223,68.32,Rainy,32.833333333333336,No,No change needed
2023-04-29 00:00:00,31.44,73.06,Ghulam Muhammad Abad,308,72.64,Clear,18.666666666666664,Yes,Take side streets via Millat Road
2023-05-24 18:00:00,31.418,73.116,People's Colony,258,61.54,Cloudy,27.0,Yes,"Avoid peak hours, use Jaranwala Road"
2023-11-08 23:00:00,31.44,73.06,Ghulam Muhammad Abad,220,43.72,Rainy,33.333333333333336,No,No change needed
2023-10-29 12:00:00,31.4235,73.1015,Kohinoor City,326,24.03,Hazy,15.666666666666664,Yes,Divert via Satyana Road
2023-12-12 12:00:00,31.4168,73.0895,Canal Road,307,57.96,Hazy,18.833333333333336,Yes,Use Expressway
2023-06-24 00:00:00,31.4405,73.13,Madina Town,244,58.77,Hazy,29.333333333333336,No,No change needed
2023-04-28 04:00:00,31.418,73.116,People's Colony,38,29.41,Rainy,63.666666666666664,No,No change needed
2023-02-20 21:00:00,31.4405,73.13,Madina Town,68,42.11,Cloudy,58.666666666666664,No,No change needed
2023-04-06 01:00:00,31.4168,73.0895,Canal Road,240,49.06,Hazy,30.0,No,No change needed
2023-07-30 19:00:00,31.4168,73.0895,Canal Road,219,33.19,Hazy,33.5,No,No change needed
2023-04-24 01:00:00,31.4187,73.079,Clock Tower,198,40.64,Rainy,37.0,No,No change needed
2023-12-17 23:00:00,31.4405,73.13,Madina Town,241,28.88,Cloudy,29.833333333333336,No,No change needed
2023-08-26 01:00:00,31.44,73.06,Ghulam Muhammad Abad,347,58.58,Rainy,12.166666666666664,Yes,Take side streets via Millat Road
2023-06-20 14:00:00,31.4235,73.1015,Kohinoor City,145,31.46,Clear,45.83333333333333,No,No change needed
2023-05-16 01:00:00,31.4187,73.079,Clock Tower,242,13.8,Hazy,29.666666666666664,No,No change needed
2023-10-31 22:00:00,31.4325,73.1205,Susan Road,175,19.88,Hazy,40.83333333333333,No,No change needed
2023-12-29 00:00:00,31.4235,73.1015,Kohinoor City,38,33.83,Cloudy,63.666666666666664,No,No change needed
2023-05-19 23:00:00,31.4405,73.13,Madina Town,326,66.89,Cloudy,15.666666666666664,Yes,Use Jaranwala Bypass
2023-10-17 01:00:00,31.4405,73.13,Madina Town,326,28.06,Clear,15.666666666666664,Yes,Use Jaranwala Bypass
2023-11-14 16:00:00,31.4405,73.13,Madina Town,204,57.84,Clear,36.0,No,No change needed
2023-11-10 00:00:00,31.4235,73.1015,Kohinoor City,275,41.89,Clear,24.166666666666664,Yes,Divert via Satyana Road
2023-05-20 15:00:00,31.44,73.06,Ghulam Muhammad Abad,231,42.52,Hazy,31.5,No,No change needed
2023-09-19 18:00:00,31.4168,73.0895,Canal Road,166,17.79,Clear,42.33333333333333,No,No change needed
2023-10-06 02:00:00,31.425,73.105,D Ground,189,23.86,Hazy,38.5,No,No change needed
2023-07-27 00:00:00,31.418,73.116,People's Colony,223,29.15,Cloudy,32.833333333333336,No,No change needed
2023-10-10 21:00:00,31.4325,73.1205,Susan Road,399,79.92,Cloudy,5.0,Yes,Use Madina Town Bypass
2023-04-30 12:00:00,31.4325,73.1205,Susan Road,253,44.53,Clear,27.833333333333336,Yes,Use Madina Town Bypass
2023-09-02 03:00:00,31.4187,73.079,Clock Tower,263,46.04,Hazy,26.166666666666664,Yes,Use Circular Road alternative
2023-06-27 17:00:00,31.4187,73.079,Clock Tower,155,32.13,Hazy,44.16666666666667,No,No change needed
2023-10-23 19:00:00,31.4405,73.13,Madina Town,31,74.5,Cloudy,64.83333333333333,No,No change needed
2023-02-10 15:00:00,31.4187,73.079,Clock Tower,337,13.57,Clear,13.833333333333336,Yes,Use Circular Road alternative
2023-12-22 16:00:00,31.4235,73.1015,Kohinoor City,376,76.71,Cloudy,7.333333333333336,Yes,Divert via Satyana Road
2023-03-17 20:00:00,31.4325,73.1205,Susan Road,115,78.98,Rainy,50.83333333333333,No,No change needed
2023-09-24 20:00:00,31.418,73.116,People's Colony,260,55.3,Cloudy,26.666666666666664,Yes,"Avoid peak hours, use Jaranwala Road"
2023-08-23 12:00:00,31.4235,73.1015,Kohinoor City,27,78.99,Rainy,65.5,No,No change needed
2023-10-19 23:00:00,31.425,73.105,D Ground,244,51.36,Hazy,29.333333333333336,No,No change needed
2023-07-14 21:00:00,31.4235,73.1015,Kohinoor City,52,23.18,Hazy,61.333333333333336,No,No change needed
2023-03-02 03:00:00,31.418,73.116,People's Colony,223,20.71,Hazy,32.833333333333336,No,No change needed
2023-08-07 12:00:00,31.4168,73.0895,Canal Road,82,23.33,Rainy,56.333333333333336,No,No change needed
2023-03-13 03:00:00,31.4235,73.1015,Kohinoor City,349,41.31,Hazy,11.833333333333336,Yes,Divert via Satyana Road
2023-01-16 18:00:00,31.418,73.116,People's Colony,320,41.61,Hazy,16.666666666666664,Yes,"Avoid peak hours, use Jaranwala Road"
2023-03-17 02:00:00,31.4405,73.13,Madina Town,188,12.76,Cloudy,38.66666666666667,No,No change needed
2023-10-21 13:00:00,31.4325,73.1205,Susan Road,272,45.29,Hazy,24.666666666666664,Yes,Use Madina Town Bypass
2023-05-01 04:00:00,31.418,73.116,People's Colony,190,45.66,Rainy,38.33333333333333,No,No change needed
2023-09-05 01:00:00,31.4405,73.13,Madina Town,212,31.55,Hazy,34.666666666666664,No,No change needed
2023-01-03 22:00:00,31.4325,73.1205,Susan Road,118,51.95,Cloudy,50.33333333333333,No,No change needed
2023-08-09 23:00:00,31.44,73.06,Ghulam Muhammad Abad,305,48.1,Clear,19.166666666666664,Yes,Take side streets via Millat Road
2023-09-13 18:00:00,31.4405,73.13,Madina Town,132,43.62,Clear,48.0,No,No change needed
2023-07-19 20:00:00,31.418,73.116,People's Colony,347,14.76,Hazy,12.166666666666664,Yes,"Avoid peak hours, use Jaranwala Road"
2023-02-10 23:00:00,31.4325,73.1205,Susan Road,395,28.54,Rainy,5.0,Yes,Use Madina Town Bypass
2023-01-20 03:00:00,31.418,73.116,People's Colony,313,35.48,Cloudy,17.833333333333336,Yes,"Avoid peak hours, use Jaranwala Road"
2023-06-03 20:00:00,31.4235,73.1015,Kohinoor City,367,68.42,Cloudy,8.833333333333336,Yes,Divert via Satyana Road
2023-01-20 18:00:00,31.4235,73.1015,Kohinoor City,213,73.23,Hazy,34.5,No,No change needed
2023-06-21 12:00:00,31.4405,73.13,Madina Town,187,60.86,Hazy,38.83333333333333,No,No change needed
2023-03-24 19:00:00,31.4405,73.13,Madina Town,34,49.42,Cloudy,64.33333333333333,No,No change needed
2023-05-30 19:00:00,31.4405,73.13,Madina Town,363,14.14,Clear,9.5,Yes,Use Jaranwala Bypass
