Location,Vehicle_Count,NO2_Emissions,Traffic_Flow_Speed,Rush_Hour_Indicator,Suggested_Route_Adjustment,Hour,Day_of_Week,Weather_Conditions_Cloudy,Weather_Conditions_Hazy,Weather_Conditions_Rainy,High_Congestion
Kohinoor City,384,59.47,6.0,1,Divert via Satyana Road,19,2,True,False,False,1
Canal Road,364,35.68,9.333333333333336,0,Use Expressway,0,2,False,False,True,1
D Ground,205,79.0,35.833333333333336,0,No change needed,4,5,False,False,False,0
Canal Road,54,23.64,61.0,0,No change needed,23,2,True,False,False,0
People's Colony,364,23.48,9.333333333333336,0,"Avoid peak hours, use Jaranwala Road",14,5,False,False,False,1
D Ground,297,69.85,20.5,0,Take small connecting roads,13,2,True,False,False,1
Madina Town,40,74.1,63.333333333333336,0,No change needed,2,3,False,False,False,0
Ghulam Muhammad Abad,142,67.77,46.33333333333333,0,No change needed,12,5,True,False,False,0
Susan Road,53,28.1,61.166666666666664,0,No change needed,21,0,True,False,False,0
Clock Tower,381,57.04,6.5,0,Use Circular Road alternative,4,2,True,False,False,1
Kohinoor City,346,37.84,12.333333333333336,0,Divert via Satyana Road,15,5,False,False,True,1
Kohinoor City,311,61.83,18.166666666666664,0,Divert via Satyana Road,20,0,False,True,False,1
People's Colony,97,25.86,53.83333333333333,0,No change needed,23,3,False,True,False,0
Susan Road,188,74.33,38.66666666666667,0,No change needed,0,2,False,False,False,0
Madina Town,239,45.69,30.166666666666664,0,No change needed,15,1,False,False,True,1
Clock Tower,181,73.06,39.83333333333333,0,No change needed,0,5,True,False,False,0
Clock Tower,209,47.88,35.166666666666664,0,No change needed,0,0,False,False,True,0
Susan Road,263,13.55,26.166666666666664,0,Use Madina Town Bypass,13,2,False,False,False,1
Madina Town,174,23.51,41.0,0,No change needed,15,6,False,True,False,0
D Ground,85,15.48,55.833333333333336,0,No change needed,12,3,False,True,False,0
Susan Road,380,44.65,6.666666666666664,0,Use Madina Town Bypass,15,0,False,False,True,1
Susan Road,355,14.22,10.833333333333336,0,Use Madina Town Bypass,15,1,True,False,False,1
Clock Tower,108,18.57,52.0,0,No change needed,2,2,False,False,False,0
