Vehicle_Count,NO2_Emissions,Traffic_Flow_Speed,Rush_Hour_Indicator,Hour,Day_of_Week,Weather_Conditions_Cloudy,Weather_Conditions_Hazy,Weather_Conditions_Rainy,High_Congestion
384,59.47,6.0,1,19,2,True,False,False,1
364,35.68,9.333333333333336,0,0,2,False,False,True,1
205,79.0,35.833333333333336,0,4,5,False,False,False,0
54,23.64,61.0,0,23,2,True,False,False,0
364,23.48,9.333333333333336,0,14,5,False,False,False,1
297,69.85,20.5,0,13,2,True,False,False,1
40,74.1,63.333333333333336,0,2,3,False,False,False,0
142,67.77,46.33333333333333,0,12,5,True,False,False,0
53,28.1,61.166666666666664,0,21,0,True,False,False,0
381,57.04,6.5,0,4,2,True,False,False,1
346,37.84,12.333333333333336,0,15,5,False,False,True,1
311,61.83,18.166666666666664,0,20,0,False,True,False,1
97,25.86,53.83333333333333,0,23,3,False,True,False,0
188,74.33,38.66666666666667,0,0,2,False,False,False,0
239,45.69,30.166666666666664,0,15,1,False,False,True,1
181,73.06,39.83333333333333,0,0,5,True,False,False,0
209,47.88,35.166666666666664,0,0,0,False,False,True,0
263,13.55,26.166666666666664,0,13,2,False,False,False,1
174,23.51,41.0,0,15,6,False,True,False,0
85,15.48,55.833333333333336,0,12,3,False,True,False,0
380,44.65,6.666666666666664,0,15,0,False,False,True,1
355,14.22,10.833333333333336,0,15,1,True,False,False,1
108,18.57,52.0,0,2,2,False,False,False,0
312,10.88,18.0,0,4,1,False,False,True,1
83,17.98,56.166666666666664,0,15,0,False,True,False,0
68,37.32,58.666666666666664,0,16,0,False,False,False,0
60,49.17,60.0,0,1,1,False,False,False,0
129,33.87,48.5,0,20,1,False,False,True,0
194,41.74,37.666666666666664,0,22,3,True,False,False,0
87,35.68,55.5,0,22,4,False,False,True,0
85,48.3,55.833333333333336,1,19,5,True,False,False,0
236,35.49,30.666666666666664,0,4,5,True,False,False,1
350,49.48,11.666666666666664,0,21,3,False,True,False,1
41,57.4,63.166666666666664,0,15,3,False,False,True,0
306,45.61,19.0,0,0,1,False,False,False,1
380,66.68,6.666666666666664,1,18,4,True,False,False,1
199,15.23,36.833333333333336,0,15,6,True,False,False,0
163,70.7,42.83333333333333,0,21,0,True,False,False,0
354,48.96,11.0,0,12,3,False,False,False,1
193,46.68,37.833333333333336,1,17,5,False,False,False,0
377,65.05,7.166666666666664,0,4,3,True,False,False,1
267,75.99,25.5,0,3,1,True,False,False,1
236,34.24,30.666666666666664,1,19,1,False,False,True,1
218,48.3,33.666666666666664,1,19,5,False,False,True,1
123,41.2,49.5,0,1,4,True,False,False,0
239,52.95,30.166666666666664,1,18,2,False,True,False,1
80,45.82,56.666666666666664,0,3,4,False,True,False,0
144,63.41,46.0,0,4,4,False,True,False,0
48,76.06,62.0,0,4,0,True,False,False,0
322,43.62,16.333333333333336,0,1,5,False,False,True,1
315,39.5,17.5,0,20,6,True,False,False,1
77,41.89,57.166666666666664,0,12,2,False,False,True,0
215,72.78,34.166666666666664,0,15,4,True,False,False,1
168,78.69,42.0,0,3,0,False,True,False,0
232,46.45,31.333333333333336,0,13,0,False,False,True,1
104,56.74,52.66666666666667,0,23,0,False,True,False,0
23,25.84,66.16666666666667,1,17,1,False,True,False,0
141,76.67,46.5,1,18,6,False,True,False,0
345,70.4,12.5,0,22,3,True,False,False,1
151,21.76,44.83333333333333,0,4,1,True,False,False,0
177,12.51,40.5,0,15,5,False,False,True,0
39,63.72,63.5,0,2,0,True,False,False,0
288,26.3,22.0,0,12,5,False,False,True,1
388,77.53,5.333333333333329,0,16,2,True,False,False,1
107,42.13,52.16666666666667,1,18,4,False,False,False,0
269,30.9,25.166666666666664,1,17,0,False,False,True,1
352,38.63,11.333333333333336,0,21,2,False,True,False,1
37,38.4,63.833333333333336,0,21,3,False,True,False,0
104,13.52,52.66666666666667,1,18,4,False,False,True,0
207,79.92,35.5,0,16,0,False,False,False,0
69,44.98,58.5,0,23,2,False,False,True,0
147,51.6,45.5,0,16,3,False,False,False,0
242,27.49,29.666666666666664,0,4,1,True,False,False,1
90,31.58,55.0,0,16,1,False,True,False,0
132,69.52,48.0,1,19,6,False,False,True,0
175,38.45,40.83333333333333,0,12,2,False,False,False,0
